date,text
2018-09-12,"[Packaging and distributing software](https://sedimental.org/the_packaging_gradient.html) is hard and complicated."
2018-08-24,"[Disability-Adjusted Life Years (DALYs)](https://en.wikipedia.org/wiki/Disability-adjusted_life_year) is *the* metric we should be looking at. Though what about the cost-burden of the disease?"
2018-05-18,"I believe that most people should avoid the current crop of IoT/smart-home devices, and [BBC's Panorama documentary](https://www.bbc.co.uk/programmes/b0b50191) gives a tiny glimpse into why."
2018-04-23,"Why does uWSGI have so many features? I don't know."
2018-04-20,"[Battery-less devices](http://batteryfreevideo.cs.washington.edu/). Amazing really."
2018-04-15,"[Preventing thinking biases in a workplace](https://www.strategy-business.com/article/Why-Our-Brains-Fall-for-False-Expertise-and-How-to-Stop-It)."
2018-04-13,"[Understanding the '=' sign](https://jeremykun.com/2018/04/13/for-mathematicians-does-not-mean-equality/) might have been useful all the way back in secondary school."
2018-04-08,"[Do You Trust this Computer?](http://doyoutrustthiscomputer.org/) is an interesting documentary on how AI is being used and what the future might hold."
2018-04-05,"[Tagging File Systems](https://www.nayuki.io/page/designing-better-file-organization-around-tags-not-hierarchies) anyone? [TMSU](https://tmsu.org/) exists, but without a GUI and not really cross-device."
2018-04-02,"[Life is Short](http://www.paulgraham.com/vb.html). Get rid of anything that doesn't matter."
2018-04-02,"A Sony Smart TV [updates itself with an app](https://news.ycombinator.com/item?id=16727319) that [tracks and shares a lot of personal data](https://archive.fo/PVUAQ)... Something something EU."
2018-03-28,"Mozilla has introduced [Facebook containers](https://blog.mozilla.org/firefox/facebook-container-extension/) broadly based on [multi-account containers](<{{ site.baseurl }}{% post_url 2017-11-21-firefox-containers %}>), which demonstrates another use-case for containers."
